,base,cf,cont,delim,epos,extent,form,gdl,gw,id_text,id_word,label,lang,morph,norm,norm0,pos,scope,sense,state,lemma,id_line
10,šar₂,šar,-ra=r.a, ,V/i,,šar₂-ra,"[{'v': 'šar₂', 'id': 'P357170.4.4.0', 'delim': '-'}, {'v': 'ra', 'id': 'P357170.4.4.1'}]",3600,niektest/P357170,P357170.4.4,o 2,sux,~;a,,šar;a,NU,,to-be-numerous,,šar[3600]NU,4
11,šeŋ₃,šeŋ,, ,N,,šeŋ₃,"[{'v': 'šeŋ₃', 'id': 'P357170.4.5.0'}]",rain,niektest/P357170,P357170.4.5,o 2,sux,~,,šeŋ,V/i,,rain,,šeŋ[rain]V/i,4
12,ulu₃{+lu},ulu,, ,N,,ulu₃{+lu},"[{'v': 'ulu₃', 'id': 'P357170.4.6.0'}, {'det': 'phonetic', 'pos': 'post', 'seq': [{'v': 'lu', 'id': 'P357170.4.6.1'}]}]",wind,niektest/P357170,P357170.4.6,o 2,sux,~,,ulu,N,,wind,,ulu[wind]N,4
13,za-pa-aŋ₂,zipaŋ,, ,N,,za-pa-aŋ₂,"[{'v': 'za', 'id': 'P357170.4.7.0', 'delim': '-'}, {'v': 'pa', 'id': 'P357170.4.7.1', 'delim': '-'}, {'v': 'aŋ₂', 'id': 'P357170.4.7.2', 'breakStart': '1', 'o': '[', 'break': 'missing'}]",breath,niektest/P357170,P357170.4.7,o 2,sux,~,,zipaŋ,N,,breath,,zipaŋ[breath]N,4
14,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.4.8.0', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.4.7.2'}]",,niektest/P357170,P357170.4.8,o 2,sux,,,,u,,,,x[NA]NA,4
15,nu-u₈-gig,nugig,, ,N,,nu-u₈-gig,"[{'v': 'nu', 'id': 'P357170.5.1.0', 'delim': '-'}, {'v': 'u₈', 'id': 'P357170.5.1.1', 'delim': '-'}, {'v': 'gig', 'id': 'P357170.5.1.2'}]",priestess,niektest/P357170,P357170.5.1,o 3,sux,~,,nugig,N,,a-divine-epithet,,nugig[priestess]N,5
16,an,an,, ,N,,an,"[{'v': 'an', 'id': 'P357170.5.2.0'}]",sky,niektest/P357170,P357170.5.2,o 3,sux,~,,an,N,,sky-heaven,,an[sky]N,5
17,dub₂-dub₂,dub,, ,V/t,,dub₂-dub₂,"[{'v': 'dub₂', 'id': 'P357170.5.3.0', 'delim': '-'}, {'v': 'dub₂', 'id': 'P357170.5.3.1'}]",tremble,niektest/P357170,P357170.5.3,o 3,sux,~,,dub,V/t,,to-tremble-make-tremble,,dub[tremble]V/t,5
18,ki,ki,, ,N,,ki,"[{'v': 'ki', 'id': 'P357170.5.4.0'}]",place,niektest/P357170,P357170.5.4,o 3,sux,~,,ki,N,,ground-earth-land,,ki[place]N,5
19,sag₃-sag₃,sag,, ,V/t,,sag₃-sag₃,"[{'v': 'sag₃', 'id': 'P357170.5.5.0', 'delim': '-'}, {'v': 'sag₃', 'id': 'P357170.5.5.1'}]",beat,niektest/P357170,P357170.5.5,o 3,sux,~,,sag,V/t,,beat,,sag[beat]V/t,5
20,niŋ₂,niŋ,, ,N,,niŋ₂-zu,"[{'v': 'niŋ₂', 'id': 'P357170.5.6.0', 'delim': '-'}, {'v': 'zu', 'id': 'P357170.5.6.1'}]",thing,niektest/P357170,P357170.5.6,o 3,sux,"~,zu",,"niŋ,zu",N,,thing,,niŋ[thing]N,5
21,a-ba,aba,, ,QP,,a-ba,"[{'v': 'a', 'id': 'P357170.5.7.0', 'delim': '-'}, {'v': 'ba', 'id': 'P357170.5.7.1'}]",who?,niektest/P357170,P357170.5.7,o 3,sux,~,,aba,QP,,who?,,aba[who?]QP,5
22,zu,zu,, ,V/t,,a-zu,"[{'v': 'a', 'id': 'P357170.5.8.0', 'breakStart': '1', 'o': '[', 'break': 'missing', 'delim': '-'}, {'v': 'zu', 'id': 'P357170.5.8.1', 'break': 'missing'}]",know,niektest/P357170,P357170.5.8,o 3,sux,V:~,,V:zu,V/t,,know,,zu[know]V/t,5
23,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.5.9.0', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.5.8.0'}]",,niektest/P357170,P357170.5.9,o 3,sux,,,,u,,,,x[NA]NA,5
24,izi,izi,, ,N,,izi,"[{'v': 'izi', 'id': 'P357170.6.1.0'}]",fire,niektest/P357170,P357170.6.1,o 4,sux,~,,izi,N,,fire,,izi[fire]N,6
25,bar₇,bar,, ,V/t,,bar₇-ra,"[{'v': 'bar₇', 'id': 'P357170.6.2.0', 'delim': '-'}, {'v': 'ra', 'id': 'P357170.6.2.1'}]",burn,niektest/P357170,P357170.6.2,o 4,sux,~;a,,bar;a,V/t,,burn,,bar[burn]V/t,6
26,ki,ki,, ,N,,ki,"[{'v': 'ki', 'id': 'P357170.6.3.0'}]",place,niektest/P357170,P357170.6.3,o 4,sux,~,,ki,N,,ground-earth-land,,ki[place]N,6
27,šar₂,šar,-ra=r.a, ,V/i,,šar₂-ra,"[{'v': 'šar₂', 'id': 'P357170.6.4.0', 'delim': '-'}, {'v': 'ra', 'id': 'P357170.6.4.1'}]",3600,niektest/P357170,P357170.6.4,o 4,sux,~;a,,šar;a,NU,,to-be-numerous,,šar[3600]NU,6
28,šeŋ₃,šeŋ,-ŋa₂=ŋ.a, ,N,,šeŋ₃-ŋa₂,"[{'v': 'šeŋ₃', 'id': 'P357170.6.5.0', 'delim': '-'}, {'v': 'ŋa₂', 'id': 'P357170.6.5.1'}]",rain,niektest/P357170,P357170.6.5,o 4,sux,~;a,,šeŋ;a,V/i,,rain,,šeŋ[rain]V/i,6
29,kur,kur,-ra=r.a, ,N,,kur-ra,"[{'v': 'kur', 'id': 'P357170.6.6.0', 'delim': '-'}, {'v': 'ra', 'id': 'P357170.6.6.1'}]",mountain,niektest/P357170,P357170.6.6,o 4,sux,"~,ak",,"kur,ak",N,,mountain,,kur[mountain]N,6
30,nim,nim,, ,N,,nim-gin₇,"[{'v': 'nim', 'id': 'P357170.6.7.0', 'delim': '-'}, {'v': 'gin₇', 'id': 'P357170.6.7.1'}]",lightning,niektest/P357170,P357170.6.7,o 4,sux,"~,gin",,"nim,gin",N,,lightning,,nim[lightning]N,6
31,ŋir₂,ŋir,, ,V/i,,ŋir₂,"[{'v': 'ŋir₂', 'id': 'P357170.6.8.0', 'breakStart': '1', 'o': '[', 'break': 'missing'}]",flash,niektest/P357170,P357170.6.8,o 4,sux,~,,ŋir,V/i,,to-flash,,ŋir[flash]V/i,6
32,,,,,,,x,"[{'x': 'ellipsis', 'id': 'P357170.6.9.0', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.6.8.0'}]",,niektest/P357170,P357170.6.9,o 4,sux,,,,u,,,,x[NA]NA,6
33,u₄-ta-u₁₈-lu,Utaulu,, ,N,,u₄-ta-u₁₈-lu,"[{'v': 'u₄', 'id': 'P357170.7.1.0', 'delim': '-'}, {'v': 'ta', 'id': 'P357170.7.1.1', 'delim': '-'}, {'v': 'u₁₈', 'id': 'P357170.7.1.2', 'delim': '-'}, {'v': 'lu', 'id': 'P357170.7.1.3'}]",1,niektest/P357170,P357170.7.1,o 5,sux,~,,Utaulu,DN,,storm,,Utaulu[1]DN,7
34,te-eš,teš,, ,N,,te-eš,"[{'v': 'te', 'id': 'P357170.7.2.0', 'delim': '-'}, {'v': 'eš', 'id': 'P357170.7.2.1'}]",voice,niektest/P357170,P357170.7.2,o 5,sux,~,,teš,N,,voice,,teš[voice]N,7
35,dug₄,dug,, ,V/t,,dug₄-ga-zu,"[{'v': 'dug₄', 'id': 'P357170.7.3.0', 'delim': '-'}, {'v': 'ga', 'id': 'P357170.7.3.1', 'delim': '-'}, {'v': 'zu', 'id': 'P357170.7.3.2'}]",speak,niektest/P357170,P357170.7.3,o 5,sux,"~;a,zu",,"dug;a,zu",V/t,,to-speak-talk-say,,dug[speak]V/t,7
36,hur-saŋ,hursaŋ,, ,N,,hur-saŋ,"[{'v': 'hur', 'id': 'P357170.7.4.0', 'delim': '-'}, {'v': 'saŋ', 'id': 'P357170.7.4.1'}]",mountain,niektest/P357170,P357170.7.4,o 5,sux,~,,hursaŋ,N,,mountain-foothills,,hursaŋ[mountain]N,7
37,gal,gal,, ,V/i,,gal,"[{'v': 'gal', 'id': 'P357170.7.5.0'}]",big,niektest/P357170,P357170.7.5,o 5,sux,~,,gal,V/i,,(to-be)-big-great,,gal[big]V/i,7
38,dar-dar,dar,-ra=r.a,,V/t,,dar-dar-ra,"[{'v': 'dar', 'id': 'P357170.7.6.0', 'delim': '-'}, {'v': 'dar', 'id': 'P357170.7.6.1', 'delim': '-'}, {'v': 'ra', 'id': 'P357170.7.6.2', 'breakStart': '1', 'o': ']', 'break': 'missing', 'breakEnd': 'P357170.7.6.2'}]",split,niektest/P357170,P357170.7.6,o 5,sux,~;a,,dar;a,V/t,,split,,dar[split]V/t,7
39,še-g·a,šeg,-ga=g.a, ,V/t,,nu-še-ga,"[{'v': 'nu', 'id': 'P357170.8.1.0', 'delim': '-'}, {'v': 'še', 'id': 'P357170.8.1.1', 'delim': '-'}, {'v': 'ga', 'id': 'P357170.8.1.2'}]",agree,niektest/P357170,P357170.8.1,o 6,sux,~;a,,šeg;a,V/t,,agree,,šeg[agree]V/t,8
40,am,am,, ,N,,am-gin₇,"[{'v': 'am', 'id': 'P357170.8.2.0', 'delim': '-'}, {'v': 'gin₇', 'id': 'P357170.8.2.1'}]",bull,niektest/P357170,P357170.8.2,o 6,sux,"~,gin",,"am,gin",N,,wild-bull,,am[bull]N,8
41,si-mul,simul,, ,N,,si-mul,"[{'v': 'si', 'id': 'P357170.8.3.0', 'delim': '-'}, {'v': 'mul', 'id': 'P357170.8.3.1'}]",stag,niektest/P357170,P357170.8.3,o 6,sux,~,,simul,N,,horn,,simul[stag]N,8
42,di,di,, ,V/t,,di,"[{'v': 'di', 'id': 'P357170.8.4.0'}]",speak,niektest/P357170,P357170.8.4,o 6,sux,~,,di,V/t,,speak,,di[speak]V/t,8
43,mud₅-me-ŋar,mudmeŋar,, ,N,,mud₅-me-ŋar,"[{'v': 'mud₅', 'id': 'P357170.8.5.0', 'delim': '-'}, {'v': 'me', 'id': 'P357170.8.5.1', 'delim': '-'}, {'v': 'ŋar', 'id': 'P357170.8.5.2'}]",joy,niektest/P357170,P357170.8.5,o 6,sux,~,,mudmeŋar,N,,joy,,mudmeŋar[joy]N,8
44,kalam,kalam,-ma=m.a,,N,,kalam-ma,"[{'v': 'kalam', 'id': 'P357170.8.6.0', 'delim': '-'}, {'v': 'ma', 'id': 'P357170.8.6.1'}]",land,niektest/P357170,P357170.8.6,o 6,sux,"~,ak",,"kalam,ak",N,,the-Land-(of-Sumer),,kalam[land]N,8
45,ŋal₂,ŋal,, ,V/i,,ŋal₂,"[{'v': 'ŋal₂', 'id': 'P357170.9.1.0'}]",be,niektest/P357170,P357170.9.1,o 7,sux,~,,ŋal,V/i,,be,,ŋal[be]V/i,9
46,dug₄,dug,, ,V/t,,dug₄-ga-zu,"[{'v': 'dug₄', 'id': 'P357170.9.2.0', 'delim': '-'}, {'v': 'ga', 'id': 'P357170.9.2.1', 'delim': '-'}, {'v': 'zu', 'id': 'P357170.9.2.2'}]",speak,niektest/P357170,P357170.9.2,o 7,sux,"~;a,zu",,"dug;a,zu",V/t,,to-speak-talk-say,,dug[speak]V/t,9
47,an,an,, ,N,,an,"[{'v': 'an', 'id': 'P357170.9.3.0'}]",sky,niektest/P357170,P357170.9.3,o 7,sux,~,,an,N,,sky-heaven,,an[sky]N,9
48,ki,ki,, ,N,,ki-bi,"[{'v': 'ki', 'id': 'P357170.9.4.0', 'delim': '-'}, {'v': 'bi', 'id': 'P357170.9.4.1'}]",place,niektest/P357170,P357170.9.4,o 7,sux,"~,bi",,"ki,bi",N,,ground-earth-land,,ki[place]N,9
49,us₂,us,-sa=s.a, ,V/t,,us₂-sa,"[{'v': 'us₂', 'id': 'P357170.9.5.0', 'delim': '-'}, {'v': 'sa', 'id': 'P357170.9.5.1'}]",follow,niektest/P357170,P357170.9.5,o 7,sux,~;a,,us;a,V/t,,to-lean-on-impose,,us[follow]V/t,9
50,mur,murmara,, ,N,,mur,"[{'v': 'mur', 'id': 'P357170.9.6.0'}]",noise,niektest/P357170,P357170.9.6,o 7,sux,~,,murmara,N,,an-animal-noise,,murmara[noise]N,9
51,ša₄,ša,, ,V/t,,ša₄-zu-še₃,"[{'v': 'ša₄', 'id': 'P357170.9.7.0', 'delim': '-'}, {'v': 'zu', 'id': 'P357170.9.7.1', 'delim': '-'}, {'v': 'še₃', 'id': 'P357170.9.7.2'}]",cvve,niektest/P357170,P357170.9.7,o 7,sux,"~;*a,zu.eše",,"ša;*a,zu.eše",V/t,,cvve,,ša[cvve]V/t,9
52,gul-gul,gul,,,V/t,,gul-gul,"[{'v': 'gul', 'id': 'P357170.9.8.0', 'delim': '-'}, {'v': 'gul', 'id': 'P357170.9.8.1'}]",destroy,niektest/P357170,P357170.9.8,o 7,sux,~,,gul,V/t,,destroy,,gul[destroy]V/t,9
53,a,a,, ,N,,a,"[{'v': 'a', 'id': 'P357170.10.1.0'}]",water,niektest/P357170,P357170.10.1,o 8,sux,~,,a,N,,water,,a[water]N,10
54,ab,ab,-ba=b.a, ,N,,ab-ba-ke₄,"[{'v': 'ab', 'id': 'P357170.10.2.0', 'delim': '-'}, {'v': 'ba', 'id': 'P357170.10.2.1', 'delim': '-'}, {'v': 'ke₄', 'id': 'P357170.10.2.2'}]",sea,niektest/P357170,P357170.10.2,o 8,sux,"~,ak,e",,"ab,ak,e",N,,sea,,ab[sea]N,10
55,šu,šu,, ,N,,šu,"[{'v': 'šu', 'id': 'P357170.10.3.0'}]",hand,niektest/P357170,P357170.10.3,o 8,sux,~,,šu,N,,hand,,šu[hand]N,10
56,ki-in-dar,kindar,, ,N,,ki-in-dar,"[{'v': 'ki', 'id': 'P357170.10.4.0', 'delim': '-'}, {'v': 'in', 'id': 'P357170.10.4.1', 'delim': '-'}, {'v': 'dar', 'id': 'P357170.10.4.2'}]",hole,niektest/P357170,P357170.10.4,o 8,sux,~,,kindar,N,,crevice,,kindar[hole]N,10
57,di,di,, ,V/t,,di,"[{'v': 'di', 'id': 'P357170.10.5.0'}]",speak,niektest/P357170,P357170.10.5,o 8,sux,~,,di,V/t,,speak,,di[speak]V/t,10
58,an-bar₇-kar₂,anbarkar,, ,N,,an-bar₇-kar₂,"[{'v': 'an', 'id': 'P357170.10.6.0', 'delim': '-'}, {'v': 'bar₇', 'id': 'P357170.10.6.1', 'delim': '-'}, {'v': 'kar₂', 'id': 'P357170.10.6.2'}]",mid-day,niektest/P357170,P357170.10.6,o 8,sux,~,,anbarkar,N,,mid-day,,anbarkar[mid-day]N,10
59,he₂-ši,heši,, ,N,,he₂-ši-še₃,"[{'v': 'he₂', 'id': 'P357170.10.7.0', 'delim': '-'}, {'v': 'ši', 'id': 'P357170.10.7.1', 'delim': '-'}, {'v': 'še₃', 'id': 'P357170.10.7.2'}]",darken,niektest/P357170,P357170.10.7,o 8,sux,~;eše,,heši;eše,V/i,,darkness,,heši[darken]V/i,10
60,ŋal₂,ŋal,,,V/i,,ŋal₂,"[{'v': 'ŋal₂', 'id': 'P357170.10.8.0'}]",be,niektest/P357170,P357170.10.8,o 8,sux,~,,ŋal,V/i,,be,,ŋal[be]V/i,10
61,kukku-g·e,kukku,, ,N,,kukku-ge,"[{'v': 'kukku', 'id': 'P357170.11.1.0', 'delim': '-'}, {'v': 'ge', 'id': 'P357170.11.1.1'}]",dark-places,niektest/P357170,P357170.11.1,o 9,sux,"~,e",,"kukku,e",N,,dark-places,,kukku[dark-places]N,11
62,dib,dib,, ,V/t,,an-dib-ba,"[{'v': 'an', 'id': 'P357170.11.2.0', 'delim': '-'}, {'v': 'dib', 'id': 'P357170.11.2.1', 'delim': '-'}, {'v': 'ba', 'id': 'P357170.11.2.2'}]",pass,niektest/P357170,P357170.11.2,o 9,sux,V.n:~a,,V.n:diba,V/t,,pass,,dib[pass]V/t,11
63,us₂,us,-sa=s.a, ,V/t,,us₂-sa,"[{'v': 'us₂', 'id': 'P357170.11.3.0', 'delim': '-'}, {'v': 'sa', 'id': 'P357170.11.3.1', 'breakStart': '1', 'o': ']', 'break': 'missing', 'breakEnd': 'P357170.11.3.1'}]",follow,niektest/P357170,P357170.11.3,o 9,sux,~;a,,us;a,V/t,,to-lean-on-impose,,us[follow]V/t,11
64,kalam,kalam,, ,N,,kalam,"[{'v': 'kalam', 'id': 'P357170.11.4.0'}]",land,niektest/P357170,P357170.11.4,o 9,sux,~,,kalam,N,,the-Land-(of-Sumer),,kalam[land]N,11
65,,,, ,,,UR-a,"[{'s': 'UR', 'id': 'P357170.11.5.0', 'delim': '-'}, {'v': 'a', 'id': 'P357170.11.5.1'}]",,niektest/P357170,P357170.11.5,o 9,sux,,,,X,,,,UR-a[NA]NA,11
66,k·e₄,ak,,,V/t,,ke₄-e,"[{'v': 'ke₄', 'id': 'P357170.11.6.0', 'delim': '-'}, {'v': 'e', 'id': 'P357170.11.6.1'}]",do,niektest/P357170,P357170.11.6,o 9,sux,~;e,,ak;e,V/t,,do,,ak[do]V/t,11
67,šag₄,šag,, ,N,,šag₄,"[{'v': 'šag₄', 'id': 'P357170.12.1.0'}]",heart,niektest/P357170,P357170.12.1,o 10,sux,~,,šag,N,,heart,,šag[heart]N,12
68,ib₂,ib,, ,V/i,,ib₂-ba,"[{'v': 'ib₂', 'id': 'P357170.12.2.0', 'delim': '-'}, {'v': 'ba', 'id': 'P357170.12.2.1'}]",angry,niektest/P357170,P357170.12.2,o 10,sux,~;a,,ib;a,V/i,,(to-be)-angry,,ib[angry]V/i,12
69,i-zi,izi,, ,N,,i-zi,"[{'v': 'i', 'id': 'P357170.12.3.0', 'delim': '-'}, {'v': 'zi', 'id': 'P357170.12.3.1'}]",wave,niektest/P357170,P357170.12.3,o 10,sux,~,,izi,N,,wave,,izi[wave]N,12
70,hu-luh,huluh,-ha=h.a, ,V/i,,hu-luh-ha-zu,"[{'v': 'hu', 'id': 'P357170.12.4.0', 'delim': '-'}, {'v': 'luh', 'id': 'P357170.12.4.1', 'delim': '-'}, {'v': 'ha', 'id': 'P357170.12.4.2', 'delim': '-'}, {'v': 'zu', 'id': 'P357170.12.4.3'}]",frightened,niektest/P357170,P357170.12.4,o 10,sux,"~;a,zu",,"huluh;a,zu",V/i,,frightened,,huluh[frightened]V/i,12
71,piš₁₀,piš,, ,N,,peš₁₀,"[{'v': 'peš₁₀', 'id': 'P357170.12.5.0'}]",bank,niektest/P357170,P357170.12.5,o 10,sux,~,,piš,N,,bank-shore-rim,,piš[bank]N,12
72,gal,gal,, ,V/i,,gal,"[{'v': 'gal', 'id': 'P357170.12.6.0'}]",big,niektest/P357170,P357170.12.6,o 10,sux,~,,gal,V/i,,(to-be)-big-great,,gal[big]V/i,12
73,kur-ku,kurku,, ,N,,kur-ku,"[{'v': 'kur', 'id': 'P357170.12.7.0', 'delim': '-'}, {'v': 'ku', 'id': 'P357170.12.7.1'}]",flood,niektest/P357170,P357170.12.7,o 10,sux,~,,kurku,N,,flood,,kurku[flood]N,12
74,ku,ku,,,V/t,,ku,"[{'v': 'ku', 'id': 'P357170.12.8.0'}]",place,niektest/P357170,P357170.12.8,o 10,sux,~,,ku,V/t,,to-place-lay-(down)-lay-(eggs),,ku[place]V/t,12
75,a₂-dam,adam,, ,N,,a₂-dam,"[{'v': 'a₂', 'id': 'P357170.13.1.0', 'delim': '-'}, {'v': 'dam', 'id': 'P357170.13.1.1'}]",habitation,niektest/P357170,P357170.13.1,o 11,sux,~,,adam,N,,habitation,,adam[habitation]N,13
76,zar,zar,-re=r.e, ,N,,zar-re-eš-e,"[{'v': 'zar', 'id': 'P357170.13.2.0', 'delim': '-'}, {'v': 're', 'id': 'P357170.13.2.1', 'delim': '-'}, {'v': 'eš', 'id': 'P357170.13.2.2', 'delim': '-'}, {'v': 'e', 'id': 'P357170.13.2.3'}]",sheaf,niektest/P357170,P357170.13.2,o 11,sux,"~,eše",,"zar,eše",N,,sheaf,,zar[sheaf]N,13
77,sal-sal,sal,, ,V/i,,sal-sal-e,"[{'v': 'sal', 'id': 'P357170.13.3.0', 'delim': '-'}, {'v': 'sal', 'id': 'P357170.13.3.1', 'delim': '-'}, {'v': 'e', 'id': 'P357170.13.3.2'}]",thin,niektest/P357170,P357170.13.3,o 11,sux,~;e,,sal;e,V/i,,(to-be)-thin-fine,,sal[thin]V/i,13
78,uŋ₃,uŋ,, ,N,,uŋ₃,"[{'v': 'uŋ₃', 'id': 'P357170.13.4.0'}]",people,niektest/P357170,P357170.13.4,o 11,sux,~,,uŋ,N,,people,,uŋ[people]N,13
79,zar,zar,-re=r+e, ,N,,zar-re-eš,"[{'v': 'zar', 'id': 'P357170.13.5.0', 'break': 'damaged', 'ho': '1', 'delim': '-', 'hc': '1'}, {'v': 're', 'id': 'P357170.13.5.1', 'delim': '-'}, {'v': 'eš', 'id': 'P357170.13.5.2'}]",sheaf,niektest/P357170,P357170.13.5,o 11,sux,"~,eše",,"zar,eše",N,,sheaf-(of-barley),,zar[sheaf]N,13
80,du₈-du₈,du,,,V/t,,du₈-du₈,"[{'v': 'du₈', 'id': 'P357170.13.6.0', 'delim': '-'}, {'v': 'du₈', 'id': 'P357170.13.6.1'}]",spread,niektest/P357170,P357170.13.6,o 11,sux,~,,du,V/t,,spread,,du[spread]V/t,13
81,a-ma-ru,amaru,, ,N,,a-ma-ru,"[{'v': 'a', 'id': 'P357170.14.1.0', 'delim': '-'}, {'v': 'ma', 'id': 'P357170.14.1.1', 'delim': '-'}, {'v': 'ru', 'id': 'P357170.14.1.2'}]",flood,niektest/P357170,P357170.14.1,o 12,sux,~,,amaru,N,,flood,,amaru[flood]N,14
82,ud,ud,, ,N,,ud,"[{'v': 'ud', 'id': 'P357170.14.2.0'}]",sun,niektest/P357170,P357170.14.2,o 12,sux,~,,ud,N,,day,,ud[sun]N,14
83,ki-bala,kibala,, ,N,,ki-bala-še₃,"[{'v': 'ki', 'id': 'P357170.14.3.0', 'delim': '-'}, {'v': 'bala', 'id': 'P357170.14.3.1', 'delim': '-'}, {'v': 'še₃', 'id': 'P357170.14.3.2'}]",rebel-land,niektest/P357170,P357170.14.3,o 12,sux,"~,eše",,"kibala,eše",N,,rebel-land,,kibala[rebel-land]N,14
84,tum₃,tum,, ,V/t,,tum₃,"[{'v': 'tum₃', 'id': 'P357170.14.4.0'}]",bring,niektest/P357170,P357170.14.4,o 12,sux,~,,tum,V/t,,bring,,tum[bring]V/t,14
85,a₂-sag₃,asag,, ,N,,a₂-sag₃,"[{'v': 'a₂', 'id': 'P357170.14.5.0', 'delim': '-'}, {'v': 'sag₃', 'id': 'P357170.14.5.1'}]",demon,niektest/P357170,P357170.14.5,o 12,sux,~,,asag,N,,a-demon,,asag[demon]N,14
86,zi-g·a,zig,,,V/t,,zi-ga-gin₇,"[{'v': 'zi', 'id': 'P357170.14.6.0', 'delim': '-'}, {'v': 'ga', 'id': 'P357170.14.6.1', 'delim': '-'}, {'v': 'gin₇', 'id': 'P357170.14.6.2'}]",rise,niektest/P357170,P357170.14.6,o 12,sux,"~;a,gin",,"zig;a,gin",V/t,,rise,,zig[rise]V/t,14
87,,,, ,,,šeg₁₀-gi₄-a-zu-še₃,"[{'v': 'šeg₁₀', 'id': 'P357170.15.1.0', 'delim': '-'}, {'v': 'gi₄', 'id': 'P357170.15.1.1', 'delim': '-'}, {'v': 'a', 'id': 'P357170.15.1.2', 'delim': '-'}, {'v': 'zu', 'id': 'P357170.15.1.3', 'delim': '-'}, {'v': 'še₃', 'id': 'P357170.15.1.4'}]",,niektest/P357170,P357170.15.1,o 13,sux,,,,X,,,,šeg₁₀-gi₄-a-zu-še₃[NA]NA,15
88,hur-saŋ,hursaŋ,, ,N,,hur-saŋ,"[{'v': 'hur', 'id': 'P357170.15.2.0', 'breakStart': '1', 'o': '[', 'break': 'missing', 'delim': '-'}, {'v': 'saŋ', 'id': 'P357170.15.2.1', 'break': 'missing', 'o': ']', 'breakEnd': 'P357170.15.2.0'}]",mountain,niektest/P357170,P357170.15.2,o 13,sux,~,,hursaŋ,N,,mountain-foothills,,hursaŋ[mountain]N,15
89,,,, ,,,x-bu-re,"[{'v': 'x', 'id': 'P357170.15.3.0', 'delim': '-'}, {'v': 'bu', 'id': 'P357170.15.3.1', 'break': 'damaged', 'ho': '1', 'delim': '-', 'hc': '1'}, {'v': 're', 'id': 'P357170.15.3.2'}]",,niektest/P357170,P357170.15.3,o 13,sux,,,,u,,,,x-bu-re[NA]NA,15
90,an-ur₂,anur,, ,N,,an-ur₂,"[{'v': 'an', 'id': 'P357170.15.4.0', 'delim': '-'}, {'v': 'ur₂', 'id': 'P357170.15.4.1'}]",horizon,niektest/P357170,P357170.15.4,o 13,sux,~,,anur,N,,horizon,,anur[horizon]N,15
